compartment wall or floor A fire resisting wall or floor to separate one fire compartment from another.	<http://buildvoc.co.uk/resource/c_4cdc3b72>
access room A room that the only escape route from an inner room passes through.	<http://buildvoc.co.uk/resource/c_228ee3b0>
cavity A space enclosed by elements of a building (including a suspended ceiling) or contained within an element, but that is not a room, cupboard, circulation space, protected shaft, or space within a flue, chute, duct, pipe or conduit.	<http://buildvoc.co.uk/resource/c_7fc5469b>
fire safety - volume 1: dwellings. 2019 edition - for use in england Presents the functional requirements for complying with fire safety in dwellings in the building regulations. The sections cover: B1 - Means of warning and escape, B2 - Internal fire spread (linings), B3 - Internal fire spread (structure), B4 - External fire spread and B5 - Access and facilities for the fire service. Also includes Regulations 6(3), 7(2) and 38. Approved Document B (fire safety) has been published in two volumes. Volume 1 deals with dwellings and blocks of flats and Volume 2 deals with all other types of building covered by the Building Regulations.	<http://buildvoc.co.uk/resource/c_ca00c020>
fire safety - volume 2: buildings other than dwellings. 2019 edition - for use in england Presents the functional requirements for complying with fire safety in buildings other than dwellings in the building regulations. The sections cover: B1 - Means of warning and escape, B2 - Internal fire spread (linings), B3 - Internal fire spread (structure), B4 - External fire spread and B5 - Access and facilities for the fire service. Also includes Regulations 6(3), 7(2) and 38. Volume 1 deals with dwellings and blocks of flats and Volume 2 deals with all other types of building covered by the Building Regulations.	<http://buildvoc.co.uk/resource/c_6c82c09f>
dwelling Includes a dwellinghouse and a flat.	<http://buildvoc.co.uk/resource/c_34f295d5>
live/work unit A flat that is a workplace for people who live there, its occupants, and for people who do not live on the premises.	<http://buildvoc.co.uk/resource/c_b3f65603>
means of escape Structural means that provide one or more safe routes for people to go, during a fire, from any point in the building to a place of safety.	<http://buildvoc.co.uk/resource/c_10ea4ecc>
measurement Width of a doorway, cubic capacity, area, height of a building and number of storeys are measured as shown in Appendix D, Diagrams D1 to D6.\nOccupant number, travel distance, escape route and stairs are measured as described in Appendix D, paragraphs D1 to D4.	<http://buildvoc.co.uk/resource/c_1f1f7725>
specified attachment Includes any of the following. \nA balcony attached to an external wall.\nA device for reducing heat gain within a building by deflecting sunlight which is attached to an external wall. \nA solar panel attached to an external wall.	<http://buildvoc.co.uk/resource/c_b44f46e0>
site  \n(of a building) The land occupied by the building, up to the boundaries with land in other ownership.	<http://buildvoc.co.uk/resource/c_132d79ca>
open spatial planning The internal arrangement of a building in which more than one storey or level is contained in one undivided volume, e.g. split-level floors. For the purposes of this document there is a distinction between open spatial planning and an atrium space.	<http://buildvoc.co.uk/resource/c_4cb80404>
school A place of education for children between 2 and 19 years old. The term includes nursery schools, primary schools and secondary schools as defined in the Education Act 1996.	<http://buildvoc.co.uk/resource/c_f4139893>
single storey building A building that consists of a ground storey only. Basements are not counted as storeys in a building (see Appendix D). A separated part that consists of a ground storey only, with a roof to which access is only provided for repair or maintenance, may be treated as a single storey building.	<http://buildvoc.co.uk/resource/c_d32d8045>
pipe Includes pipe fittings and accessories. The definition of ‘pipe’ excludes a flue pipe and a pipe used for ventilating purposes, other than a ventilating pipe for an above-ground drainage system.	<http://buildvoc.co.uk/resource/c_35d3a535>
storey exit A final exit, or a doorway that gives direct access into a protected stairway, firefighting lobby or external escape route.	<http://buildvoc.co.uk/resource/c_727adfdb>
purpose group A classification of a building according to the purpose to which it is intended to be put. (See Table 0.1.)	<http://buildvoc.co.uk/resource/c_7400b440>
habitable room is a room used for dwelling purposes but which is not solely a kitchen, utility room, bathroom, cellar or sanitary accommodation.	<http://buildvoc.co.uk/resource/c_f851b292>
extract ventilation is the removal of air directly from a space or spaces to outside. Extract ventilation may be by natural means (e.g. by passive stack ventilation) or by mechanical means (e.g. by an extract fan or central system).	<http://buildvoc.co.uk/resource/c_76c8b363>
self-closing device A device that closes a door, when open at any angle, against a door frame.	<http://buildvoc.co.uk/resource/c_7d862abe>
firefighting lift A lift with additional protection and with controls that enable it to be used by the fire and rescue service when fighting a fire. (See Section 15.)	<http://buildvoc.co.uk/resource/c_9b7f9eb7>
notional boundary A boundary presumed to exist between two buildings on the same site.	<http://buildvoc.co.uk/resource/c_858351ef>
regulatory reform (fire safety) order 2005 This Order reforms the law relating to fire safety in non-domestic premises. It replaces fire certification under the Fire Precautions Act 1971 with a general duty to ensure, so far as is reasonably practicable, the safety of employees, a general duty, in relation to non-employees to take such fire precautions as may reasonably be required in the circumstances to ensure that premises are safe and a duty to carry out a risk assessment.	<http://buildvoc.co.uk/resource/c_0e0d001c>
fire safety information (TBA) Regulation 16B requires that where building work is carried out which affects fire safety, and where the building affected will be covered by the Regulatory Reform (Fire Safety) Order 2005, the person carrying out the work must provide sufficient information for persons to operate and maintain the building in reasonable safety. This information will assist the eventual owner/ occupier/employer to meet their statutory duties under the Regulatory Reform (Fire Safety) Order.	<http://buildvoc.co.uk/resource/c_a452ce73>
part b - fire safety Guidance on ways to comply with the fire safety requirements in Part B of Schedule 1 to the Building Regulations 2010	<http://buildvoc.co.uk/resource/c_d4480e31>
sheltered housing Includes two or more dwellings in the same building or on adjacent sites, designed and constructed as residential accommodation for vulnerable or elderly people who receive, or will receive, a support service.	<http://buildvoc.co.uk/resource/c_40560ccd>
thermoplastic material Any synthetic polymeric material that has a softening point below 200°C if tested to BS EN ISO 306 Method A120. Specimens for this test may be fabricated from the original polymer where the thickness of material of the end product is less than 2.5mm.	<http://buildvoc.co.uk/resource/c_b975b2d2>
building Any permanent or temporary building but not any other kind of structure or erection. A reference to a building includes a reference to part of a building.	<http://buildvoc.co.uk/resource/c_c02d4d7d>
dwelling Includes a dwellinghouse and a flat.	<http://buildvoc.co.uk/resource/c_da6168d8>
protected entrance hall/landing A circulation area, consisting of a hall or space in a flat, that is enclosed with fire resisting construction other than an external wall of a building.	<http://buildvoc.co.uk/resource/c_13543964>
automatic release mechanism A device that normally holds a door open, but closes it automatically if any one of the following occurs.Smoke is detected by an automatic device of a suitable nature and quality in a suitable location.A hand-operated switch, fitted in a suitable position, is operated.The electricity supply to the device, apparatus or switch fails.The fire alarm system, if any, is operated.	<http://buildvoc.co.uk/resource/c_6284471b>
atrium (plural atria) A continuous space that passes through one or more structural floors within a building, not necessarily vertically.	<http://buildvoc.co.uk/resource/c_8258611b>
fire safety - volume 2 - buildings other than dwellinghouses (2006 edition incorporating 2010, 2013 and 2016 amendments) (for use in wales) Provides practical guidance for complying with building regulations on matters relating to materials and workmanship with examples and solutions for different building situations. Approved document B2 deals with fire safety in buildings other than dwellinghouses and covers: Sections B1 - Means of warning and escape, B2 - Internal fire spread (linings), B3 - Internal fire spread (structure), B4 - External fire spread and B5 - Access and facilities for the fire and rescue service. Approved Document B (fire safety) has been published in two volumes. Volume 1 deals with dwellinghouses and Volume 2 deals with all other types of building covered by the Building Regulations.	<http://buildvoc.co.uk/resource/c_6d2c7baa>
fire safety - volume 1 dwellinghouses (2006 edition incorporating 2010 and 2016 amendments) (for use in wales) Provides practical guidance for complying with building regulations on matters relating to materials and workmanship with examples and solutions for different building situations. Approved document B1 deals with fire safety in dwellinghouses and covers: Sections B1 - Means of warning and escape, B2 - Internal fire spread (linings), B3 - Internal fire spread (structure), B4 - External fire spread and B5 - Access and facilities for the fire and rescue service. Approved Document B (fire safety) has been published in two volumes. Volume 1 deals with dwellinghouses and Volume 2 deals with all other types of building covered by the Building Regulations. Where very large (over 18m in height) or unusual dwellinghouses are proposed some of the guidance in Volume 2 may be needed to supplement that given by Volume 1.	<http://buildvoc.co.uk/resource/c_7ffd0e94>
cavity barrier A construction within a cavity, other than a smoke curtain, to perform either of the following functions.Close a cavity to stop smoke or flame entering.Restrict the movement of smoke or flame within a cavity.	<http://buildvoc.co.uk/resource/c_9e4931f7>
separated part (of a building) Part of a building that is separated from another part of the same building by a compartment wall. The wall runs the full height of the part and is in one vertical plane. (See Appendix D, Diagram D5.)	<http://buildvoc.co.uk/resource/c_04c52352>
ceiling Part of a building that encloses a room, protected shaft or circulation space and is exposed overhead. 	<http://buildvoc.co.uk/resource/c_f5536b7d>
travel distance (unless otherwise specified, e.g. as in the case of flats) The distance that a person would travel from any point within the floor area to the nearest storey exit, determined by the layout of walls, partitions and fittings.	<http://buildvoc.co.uk/resource/c_83464c52>
alternative escape routes Escape routes that are sufficiently separated by direction and space or by fire resisting construction to ensure that one is still available if the other is affected by fire.	<http://buildvoc.co.uk/resource/c_b6083e42>
perimeter (of a building) The maximum aggregate plan perimeter, found by vertical projection onto a horizontal plane. (See Section 15.)	<http://buildvoc.co.uk/resource/c_a965ecce>
boundary The boundary of the land that belongs to a building, or, where the land abuts a road, railway, canal or river, the centre line of that road, railway, canal or river.	<http://buildvoc.co.uk/resource/c_10030a9a>
common stair An escape stair that serves more than one flat.	<http://buildvoc.co.uk/resource/c_bed063fd>
compartment (fire) A building or part of a building, comprising one or more rooms, spaces or storeys, that is constructed to prevent the spread of fire to or from another part of the same building or an adjoining building.	<http://buildvoc.co.uk/resource/c_4a90e0e1>
protected circuit An electrical circuit that is protected against fire.	<http://buildvoc.co.uk/resource/c_d5c15327>
circulation space A space (including a protected stairway) mainly used as a means of access between a room and an exit from the building or compartment.	<http://buildvoc.co.uk/resource/c_e7e6b110>
building control body (tba) A term that includes both local authority building control and approved inspectors.	<http://buildvoc.co.uk/resource/c_28013078>
protected stairway A stair that leads to a final exit to a place of safety and that is adequately enclosed with fire resisting construction. Included in the definition is any exit passageway between the foot of the stair and the final exit.	<http://buildvoc.co.uk/resource/c_7c12f560>
basement storey A storey with a floor that, at some point, is more than 1200mm below the highest level of ground beside the outside walls. (However, see Appendix B, paragraph B26c, for situations where the storey is considered to be a basement only because of a sloping site.)	<http://buildvoc.co.uk/resource/c_3e5063e6>
perimeter (of a building) The maximum aggregate plan perimeter, found by vertical projection onto a horizontal plane. (See Section 15 of Approved Document B Volume 2.)	<http://buildvoc.co.uk/resource/c_b2cab8d9>
place of special fire hazard A room such as any of the following.\nOil-filled transformer room.\nSwitch gear room.\nBoiler room.\nStorage space for fuel or other highly flammable substance(s).\nRoom that houses a fixed internal combustion engine.	<http://buildvoc.co.uk/resource/c_28e7c922>
platform floor (also called an access or raised floor) A floor that is supported by a structural floor, but with an intervening cavity to house services.	<http://buildvoc.co.uk/resource/c_38ba0f99>
protected shaft A shaft that enables people, air or objects to pass from one compartment to another, and which is enclosed with fire resisting construction.	<http://buildvoc.co.uk/resource/c_46be855e>
gross internal volume is the total internal volume of the heated space, including the volume of all furniture, internal walls, internal floors, etc.	<http://buildvoc.co.uk/resource/c_4fe84b3b>
corridor access A design of a building containing flats, in which each flat is approached via a common horizontal internal access or circulation space, which may include a common entrance hall.	<http://buildvoc.co.uk/resource/c_79a3679f>
storey Includes any of the following.\nAny gallery in an assembly building (purpose group 5).\nAny gallery in any other type of building if its area is more than half that of the space into which it projects.\nA roof, unless it is accessible only for maintenance and repair.	<http://buildvoc.co.uk/resource/c_5724a233>
ventilation 2010 edition incorporating 2010 and 2013 amendments This document has been approved by the\nSecretary of State to provide practical guidance\non ways of complying with the requirements in\nPart F of Schedule 1 to, and regulations 39, 42\nand 44 (in so far as it relates to fixed systems\nfor mechanical ventilation) of, the Building\nRegulations 2010 (SI 2010/2214) for England\nand Wales, and regulations 20(1) and 20(6) (in so\nfar as it relates to fixed systems for mechanical\nventilation) of the Building (Approved Inspectors\netc) Regulations 2010 (SI 2010/2215) for England\nand Wales. The Building Regulations 2010\nand the Building (Approved Inspectors etc)\nRegulations 2010 are referred to throughout\nthe remainder of this document as ‘the Building\nRegulations’ and ‘the Approved Inspectors\nRegulations’ respectively.	<http://buildvoc.co.uk/resource/c_44c61ce8>
